Winner,Loser,Hyper_Topic
Mandating flu vaccination sets a dangerous precedent for the government mandating invasive medical procedures and regulating the human body directly in the future. ,"Forcing parent to vaccinate their children is getting into the way they parent and control it, which is not legitimate. ",Flu vaccination
"Flu vaccination should not be mandatory because there are less restrictive ways to get everyone vaccinated, like requiring it to attend schools or receive health insurance. ",People who don't believe in vaccines will get angry at the state and would show less willingness to work with it.,Flu vaccination
The government forcing this on their citizens creates a precedent where they can ignore the will of the people.,"Some religious beliefs are against vaccinations, and it's not legitimate for the state to intervene in that. ",Flu vaccination
"Forcing people to get the flu vaccine against their will wiill further cause people to lose faith in vaccines and public health policies, which will discourage future adherence to and support for health policies. ","People often don't get the flu vaccine based on conventional or emotional wisdom, mandating a flu vaccine makes them feel attacked but does nothing to promote fact based decision making or scientific awareness. ",Flu vaccination
Mandating flu vaccination sets a dangerous precedent for the government mandating invasive medical procedures and regulating the human body directly in the future. ,Opposition to vaccines is valid as the government and doctors have used their powers to harm marginalized groups before.,Flu vaccination
"Flu vaccination should not be mandatory because some people have valid reasons for not wanting the vaccine, like a phobia of needles or a cultural objection.","You do not have to make vaccinations mandatory. Positive incentives can be given to people to get vaccinated, thus immunizing most of the population without the use of force.",Flu vaccination
The government forcing this on their citizens creates a precedent where they can require people to ingest chemicals they don't understand or want.,Religious reasons not to get vaccinated are more important than marginally contributing to herd immunity since the potential for hell is infinite. ,Flu vaccination
"Coercion and threats via government mandate prevent long-term successful health policy by making people feel attacked, which means you will have more backlash against flu vaccines than if you just negotiated with people rationally. ","People often don't get the flu vaccine based on conventional or emotional wisdom, mandating a flu vaccine makes them feel attacked but does nothing to promote fact based decision making or scientific awareness. ",Flu vaccination
Flu vaccination should not be mandatory because it is an over-extension of the state's power to require a medical treatment.,People who don't believe in vaccines will get angry at the state and would show less willingness to work with it.,Flu vaccination
Mandating flu vaccination sets a dangerous precedent for the government mandating invasive medical procedures and regulating the human body directly in the future. ,"If everybody are vaccinated, Flu can become immune to the specific vaccination and Flu may become more aggressive towards human.",Flu vaccination
"The state must not impose one way of life over another, even if the state thinks that such way of life harms those who live that way.",Religious reasons not to get vaccinated are more important than marginally contributing to herd immunity since the potential for hell is infinite. ,Flu vaccination
"Forcing people to get the flu vaccine against their will wiill further cause people to lose faith in vaccines and public health policies, which will discourage future adherence to and support for health policies. ","You do not have to make vaccinations mandatory. Positive incentives can be given to people to get vaccinated, thus immunizing most of the population without the use of force.",Flu vaccination
"The majority of the time the flu is a very benign disease, it is unfair to mandate the vaccine for all if very few experience real harms either way. ","Flu vaccination should not be mandatory because it would be impossible to enforce the law, which would undermine people's respect for the government overall.",Flu vaccination
Government mandated vaccines are an expensive program that will trade off with other important programs.,"If there are issues in production or application with the vaccine, public trust in the government will be destroyed.",Flu vaccination
"Flu vaccination should not be mandatory because some people have valid reasons for not wanting the vaccine, like a phobia of needles or a cultural objection.","The proposal will make people more inddifferent to the flu and take more risks, despite the vaccine being not fully effective",Flu vaccination
"Forcing people to get the flu vaccine against their will wiill further cause people to lose faith in vaccines and public health policies, which will discourage future adherence to and support for health policies. ","Vaccination might have side-effects, which might be stronger to some, and would make the reduce in riak for getting sick non-profitable as the damage done because of the vaccination is big enough to negate it. ",Flu vaccination
"Many religions have practices that forbid vaccination, and this mandate would violate religious freedom.",Government mandating flu vaccines makes anti-vaxxers feel more oppressed which further radicalizes them and facilitates recruitment into the movement. ,Flu vaccination
"You do not have to make vaccinations mandatory. Positive incentives can be given to people to get vaccinated, thus immunizing most of the population without the use of force.","Flu vaccination should not be mandatory because in order to meet the demand for hundreds of millions of units of the vaccine, safety standards would be lowered and people would be given bad vaccines.",Flu vaccination
The government forcing this on their citizens creates a precedent where they can ignore the will of the people.,"Some people will get so angery about the subject, that they will stop to take any vaccination and will not vaccinate their children",Flu vaccination
"Flu vaccination should not be mandatory because it would be impossible to enforce the law, which would undermine people's respect for the government overall.","The proposal will make people more inddifferent to the flu and take more risks, despite the vaccine being not fully effective",Flu vaccination
"The flu, while undesirable and uncomfortable, is not deadly. The state has no right to force people to vaccinate when the harm isn't fatal.","Vaccines might be harmful, and only the person taking them can know if they are worth the risk for them.",Flu vaccination
"Forcing people to participate in a system they do not trust, often with passion and for irrational reasons, might lead them to distrust conventional medicine as a whole, increasing the risk to their health.","It is illegitimate for the state to mandate that because people have a right to their body. It is illegal for example make someone quit smoking mandatorilly, because that's his basic autonomy. ",Flu vaccination
"Flu vaccination should not be mandatory because there are less restrictive ways to get everyone vaccinated, like requiring it to attend schools or receive health insurance. ","The majority of the time the flu is a very benign disease, it is unfair to mandate the vaccine for all if very few experience real harms either way. ",Flu vaccination
"Flu vaccination should not be mandatory because there are less restrictive ways to get everyone vaccinated, like requiring it to attend schools or receive health insurance. ","The proposal will make people more inddifferent to the flu and take more risks, despite the vaccine being not fully effective",Flu vaccination
Flu vaccination should not be mandatory because it is an over-extension of the state's power to require a medical treatment.,"If there are issues in production or application with the vaccine, public trust in the government will be destroyed.",Flu vaccination
"Flu isn't such a horrible desease, people could get sick and then recover easily with the medicine available today, there is no need to be vaccinated. ","The disease would grow stronger by mutating on the entire population, it is best to save it for really sick oeople",Flu vaccination
Flu vaccination should not be mandatory because coercion is less effective than education when it comes to promoting better public health.,"If there are issues in production or application with the vaccine, public trust in the government will be destroyed.",Flu vaccination
"

If the government prioritizes group rights above individual rights, it removes personal freedoms.","Some religious beliefs are against vaccinations, and it's not legitimate for the state to intervene in that. ",Flu vaccination
Flu vaccination should not be mandatory because it is an over-extension of the state's power to require a medical treatment.,Religious reasons not to get vaccinated are more important than marginally contributing to herd immunity since the potential for hell is infinite. ,Flu vaccination
"Most people who don't get flu vaccines don't get them because of expense or physical inaccessibility, it is wrong for the government to mandate something they can't guarantee will be provided. ","Even if all citizens are vaccinated, we will not receive herd immunity because vaccines do not work on large percentages of the population. so there is no substantial harm to other people by not vaccinating.",Flu vaccination
"Forcing a person to do something to protect others infringes on his right to first of all care for himself, just like we don't force people to save others from a burning house","Vaccination might have side-effects, which might be stronger to some, and would make the reduce in riak for getting sick non-profitable as the damage done because of the vaccination is big enough to negate it. ",Flu vaccination
The government forcing this on their citizens creates a precedent where they can ignore the will of the people.,The government has proven it cannot be trusted with mandated healthcare due to eugenics programs in the past.,Flu vaccination
"The flu, while undesirable and uncomfortable, is not deadly. The state has no right to force people to vaccinate when the harm isn't fatal.",making vaccination mandatory will be a heavy weight on the health system and would make it collapse most likely.,Flu vaccination
Government mandated vaccines are an expensive program that will trade off with other important programs.,"If the government mandates vaccines, anti science conspiracy theorists will become emboldened, more scared, and radicalized.",Flu vaccination
"People do have the autonomy of their own body, and given a vaccination is an invasive process, they have the legitimacy to choose otherwise",Government mandating flu vaccines makes anti-vaxxers feel more oppressed which further radicalizes them and facilitates recruitment into the movement. ,Flu vaccination
