Argument,Topic,Hyper_topic,Counter
Mandating flu vaccination sets a dangerous precedent for the government mandating invasive medical procedures and regulating the human body directly in the future. ,Flu vaccination should be mandatory ,Flu vaccination,291
"Flu vaccination should not be mandatory because there are less restrictive ways to get everyone vaccinated, like requiring it to attend schools or receive health insurance. ",Flu vaccination should be mandatory ,Flu vaccination,291
The government forcing this on their citizens creates a precedent where they can ignore the will of the people.,Flu vaccination should be mandatory ,Flu vaccination,291
"Forcing people to get the flu vaccine against their will wiill further cause people to lose faith in vaccines and public health policies, which will discourage future adherence to and support for health policies. ",Flu vaccination should be mandatory ,Flu vaccination,291
"Flu vaccination should not be mandatory because some people have valid reasons for not wanting the vaccine, like a phobia of needles or a cultural objection.",Flu vaccination should be mandatory ,Flu vaccination,291
The government forcing this on their citizens creates a precedent where they can require people to ingest chemicals they don't understand or want.,Flu vaccination should be mandatory ,Flu vaccination,291
"Coercion and threats via government mandate prevent long-term successful health policy by making people feel attacked, which means you will have more backlash against flu vaccines than if you just negotiated with people rationally. ",Flu vaccination should be mandatory ,Flu vaccination,291
Flu vaccination should not be mandatory because it is an over-extension of the state's power to require a medical treatment.,Flu vaccination should be mandatory ,Flu vaccination,291
"The state must not impose one way of life over another, even if the state thinks that such way of life harms those who live that way.",Flu vaccination should be mandatory ,Flu vaccination,291
"The majority of the time the flu is a very benign disease, it is unfair to mandate the vaccine for all if very few experience real harms either way. ",Flu vaccination should be mandatory ,Flu vaccination,291
Government mandated vaccines are an expensive program that will trade off with other important programs.,Flu vaccination should be mandatory ,Flu vaccination,291
"Many religions have practices that forbid vaccination, and this mandate would violate religious freedom.",Flu vaccination should be mandatory ,Flu vaccination,291
"You do not have to make vaccinations mandatory. Positive incentives can be given to people to get vaccinated, thus immunizing most of the population without the use of force.",Flu vaccination should be mandatory ,Flu vaccination,291
"Flu vaccination should not be mandatory because it would be impossible to enforce the law, which would undermine people's respect for the government overall.",Flu vaccination should be mandatory ,Flu vaccination,291
"The flu, while undesirable and uncomfortable, is not deadly. The state has no right to force people to vaccinate when the harm isn't fatal.",Flu vaccination should be mandatory ,Flu vaccination,291
"Forcing people to participate in a system they do not trust, often with passion and for irrational reasons, might lead them to distrust conventional medicine as a whole, increasing the risk to their health.",Flu vaccination should be mandatory ,Flu vaccination,291
