keywords,sentence,topic
"marriage: incorporates, unions, thinking, old, man","""marriage"" isn't keeping up with the times.  abandon the old thinking and bring something that incorporates all unions - not just those with a man and woman.",marriage
"marriage: weight, abandoning, relationship, grow, marriage",abandoning marriage allows for people to grow as themselves without the weight of a relationship,marriage
"marriage: religious, wedding, weddings, abandoning, offend",Abandoning weddings would offend many religious couples for whom the wedding is an important religious ceremony.,marriage
"marriage: popular, divorce, values, rates","as society and values change, marriage is no longer as popular as it once was and divorce rates continue to climb.",marriage
"marriage: associate, burdens, rid","by adopting such practice we can get rid of all the burdens associate with marriage like financial, legal and social obligations.",marriage
"marriage: married, outcomes, achieve, parents, better, life",children achieve better outcomes in life when their parents are married,marriage
"marriage: married, outcomes, parents, better, life, children",children have better outcomes in life when their parents are married,marriage
"marriage: committment, qualities, stability, marriage",committment and stability are important in the lives of children and marriage provides these qualities,marriage
"marriage: marry, couples, tend",Couples who marry tend to stay together longer than couples who don't marry.,marriage
"marriage: distressing, ordeal, became, weddings, historical, norms",cultural and historical norms associated with weddings are outdated and became a distressing ordeal,marriage
"marriage: harms, marriage, pragmatic, unsuccessful","Even if individuals get divorced, the harms of an unsuccessful marriage are no worse inherently than the harms of ending a long term relationship, and therefore there is no pragmatic reason to abandon marriage.",marriage
"marriage: married, unmarried","Even with high rates of divorce, married couples and the children of married parents ultimately have more stable and emotionally healthy lives than their unmarried counterparts.",marriage
"marriage: unions, civil, marriages, almost","far too many marriages end now in divorce, or worse; civil unions offer almost the same  benefits as marriage anyway.",marriage
"marriage: lasting, fewer, marriages, divorce, experience, difficult",fewer marriages are lasting and divorce is a difficult experience for everyone,marriage
"marriage: fifty, lifelong, percent, realistic, letting, marriages",fifty percent of marriages end in divorce which is letting us know that the idea of marriage as lifelong  is no longer realistic,marriage
"marriage: divorce, many, marriages",given that so many marriages end in divorce now and many people who stay together only because they cannot afford a divorce it is time marriage was abandoned.,marriage
"marriage: half, altogether, marriages, divorce, rid",half of marriages end up in divorce so it's best to just rid it altogether,marriage
"marriage: word, stability, would","if there was no legal marriage process, family stability would no longer be possible and a the word ""responsibility"" would become instinct.",marriage
"marriage: spike, lose, causing, abandon","If we abandon weddings, many people would lose jobs, causing a spike in unemployment.",marriage
"marriage: deepen, believed, relationship, tradition","In many cultures, marriage is an important religious tradition that is believed to deepen one's relationship with God.",marriage
"marriage: fare, biological, raised, tend, shown",it has been shown that children raised by both their biological parents tend to fare better.,marriage
"marriage: wedding, whether, wish",It is a couple's right - not the government's - to choose whether or not they wish to have a wedding ceremony/reception.,marriage
"marriage: marriage, commitment, fail, marriages, concept",just because some marriages fail does not mean that the concept of marriage should be ended.  marriage shows commitment and support for another which is great for the world.,marriage
"marriage: combined, incomes, increased, due, marriage",marriage allows for increased economic freedom due to the combined incomes,marriage
"marriage: accompanying, eventual, wedding, imposes","marriage and the accompanying wedding imposes massive financial hardship at the start of a relationship, often contributing to its eventual dissolution.",marriage
"marriage: construct, popular, merit, financial",marriage as a financial and social construct still has much merit and is as popular now as ever.,marriage
"marriage: exchanging, notions, purchase, ownership","Marriage as a social institution is based on outdated notions of exchanging property and other resources in order to purchase or take ownership over a woman, and these practices should be abandoned.",marriage
